ID,物品名稱,拾獲地點,拾獲日期,特徵描述,圖片路徑,狀態
67,智慧型手錶（黑色）,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092721.jpg,未領取
68,玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092749.jpg,未領取
69,鑰匙,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092811.jpg,未領取
70,手鏈,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092833.jpg,未領取
71,手鏈二,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092859.jpg,未領取
72,項鏈,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092915.jpg,未領取
73,寶可夢卡夾夾,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092938.jpg,未領取
74,藍色軟球一,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_093010.jpg,未領取
75,綠色小米手環,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_093030.jpg,未領取
76,手鏈,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_093139.jpg,未領取
77,市民卡一張（學生不在本校）,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_093438.jpg,未領取
78,外套,新興館,2025-12-19,無特殊描述,uploaded_images/20251219_051719.jpg,未領取
79,背心,未提供,2025-12-18,無特殊描述,uploaded_images/20251219_051759.jpg,未領取
